Item ID,Title,Vendor,Product Type,Price,Inventory quantity,Main image,Additional images,Shipping details,Source URL
SBS-222317,Wrath Semi Permanent Hair Color 8 oz.,Arctic Fox,Shop by Type / Semi-Permanent Hair Color,19.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw01cf8695/images/large/SBS-222317-2.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw01cf8695/images/large/SBS-222317-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw89dfb89c/images/large/SBS-222317-5.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw89dfb89c/images/large/SBS-222317-5.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw9125f50a/images/large/SBS-222317-1.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/wrath-semi-permanent-hair-color-8-oz./SBS-222317.html
SBS-164351,Drip & Clog Proof Nail Glue,Beauty Secrets,Acrylic Nails / Nail Glue,7.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw085f6849/images/large/SBS-164351-4.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw085f6849/images/large/SBS-164351-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw109f0796/images/large/SBS-164351-5.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw109f0796/images/large/SBS-164351-5.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw1ca986ee/images/large/SBS-164351-2.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: Yes; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/nails/acrylic-nails-and-polygel/nail-glue/drip-and-clog-proof-nail-glue/SBS-164351.html
SBS-018765,Luxe Carousel Auto Rotating Curling Iron,ion Luxe Solutions,Shop All Curling Irons & Wands / Curling Irons,44.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw08b5df1b/images/large/SBS-018765.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw08b5df1b/images/large/SBS-018765.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw1fc202d4/images/large/SBS-018765-3.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw1fc202d4/images/large/SBS-018765-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw43abdc15/images/large/SBS-018765-5.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/curling-irons-and-wands/curling-irons/luxe-carousel-auto-rotating-curling-iron/SBS-018765.html
SBS-646702,Digital Nano Silver Flat Iron 1 1/4 inch,Tool Science,Tools & Brushes / Flat Irons & Hair Straighteners,34.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw9797141e/images/large/SBS-646702.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw9797141e/images/large/SBS-646702.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwb95fc26c/images/large/SBS-646702-1.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwb95fc26c/images/large/SBS-646702-1.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/flat-irons-and-hair-straighteners/digital-nano-silver-flat-iron-1-1-4-inch/SBS-646702.html
SBS-000014,Lava Volcanic Ceramic Flat Iron 1 Inch,CHI Lava,Tools & Brushes / Flat Irons & Hair Straighteners,149.99,1,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw1eb93364/images/large/SBS-000014.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw1eb93364/images/large/SBS-000014.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw4438f911/images/large/SBS-000014-4.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw4438f911/images/large/SBS-000014-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw461e6a5f/images/large/SBS-000014-1.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/flat-irons-and-hair-straighteners/lava-volcanic-ceramic-flat-iron-1-inch/SBS-000014.html
SBS-301608,One Stroke Flat Iron 1 inch,ion,Tools & Brushes / Flat Irons & Hair Straighteners,39.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw03e87533/images/large/SBS-301608-5.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw03e87533/images/large/SBS-301608-5.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw41789284/images/large/SBS-301608.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw41789284/images/large/SBS-301608.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa7762035/images/large/SBS-301608-1.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/flat-irons-and-hair-straighteners/one-stroke-flat-iron-1-inch/SBS-301608.html
SBS-345342,Prima Titanium Flat Iron 1 Inch,BaBylissPRO,Tools & Brushes / Flat Irons & Hair Straighteners,57.49,139,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7da68468/images/large/SBS-345342-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7da68468/images/large/SBS-345342-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa2b605a7/images/large/SBS-345342-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa2b605a7/images/large/SBS-345342-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc83a0f48/images/large/SBS-345342.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/flat-irons-and-hair-straighteners/prima-titanium-flat-iron-1-inch/SBS-345342.html
SBS-017426,Compact Thermal Paddle Brush,BaBylissPRO Nano Titanium,Flat Irons & Hair Straighteners / Straightening Brush,54.99,203,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw160738c0/images/large/SBS-017426.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw160738c0/images/large/SBS-017426.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw8f81b5a8/images/large/SBS-017426-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw8f81b5a8/images/large/SBS-017426-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa415d5dc/images/large/SBS-017426-1.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/flat-irons-and-hair-straighteners/straightening-brush/compact-thermal-paddle-brush/SBS-017426.html
SBS-008819,GOLDFX Outlining Trimmer,BaBylissPRO GOLDFX,Hair Cutting Tools / Clippers & Trimmers,229.99,482,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw594b01df/images/large/SBS-008819.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw594b01df/images/large/SBS-008819.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw85986ebc/images/large/SBS-008819-1.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw85986ebc/images/large/SBS-008819-1.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/tools-and-brushes/hair-cutting-tools/clippers-and-trimmers/goldfx-outlining-trimmer/SBS-008819.html
SBS-003962,Deep/Dark Powder Contour Palette,Kokie,Makeup / Face,14.99,32,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7edc701c/images/large/SBS-003962-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7edc701c/images/large/SBS-003962-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd24e495c/images/large/SBS-003962.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd24e495c/images/large/SBS-003962.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/beauty/makeup/face/deep-dark-powder-contour-palette/SBS-003962.html
SBS-009403,Setting Spray,Glowbloom,Makeup / Face,7.29,65,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd0c5b6c1/images/large/SBS-009403.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd0c5b6c1/images/large/SBS-009403.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/beauty/makeup/face/setting-spray/SBS-009403.html
SBS-528401,Instant Arched Brows,Fran Wilson,Makeup / Eye Makeup,5.19,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw64da27c3/images/large/SBS-528401-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw64da27c3/images/large/SBS-528401-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7cfdaad5/images/large/SBS-528401.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7cfdaad5/images/large/SBS-528401.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/beauty/makeup/eyebrows/instant-arched-brows/SBS-528401.html
