SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
DIOR-07-8046,Dior Sauvage Eau Forte Gift Set,dior-sauvage-eau-forte-gift-set,Dior Sauvage Eau Forte in gift set format. Fresh mainstream scent profile with strong customer demand.,148.35,189.89,14,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-08-8046,Dior Sauvage Eau Forte Holiday Box,dior-sauvage-eau-forte-holiday-box,Dior Sauvage Eau Forte in holiday box format. Fresh mainstream scent profile with strong customer demand.,152.22,194.84,13,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-09-8046,Dior Sauvage Eau Forte Limited Edition,dior-sauvage-eau-forte-limited-edition,Dior Sauvage Eau Forte in limited edition format. Fresh mainstream scent profile with strong customer demand.,139.32,178.33,12,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-10-8046,Dior Sauvage Eau Forte Refill,dior-sauvage-eau-forte-refill,Dior Sauvage Eau Forte in refill format. Fresh mainstream scent profile with strong customer demand.,118.68,151.91,18,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-11-8046,Dior Sauvage Eau Forte Duo Pack,dior-sauvage-eau-forte-duo-pack,Dior Sauvage Eau Forte in duo pack format. Fresh mainstream scent profile with strong customer demand.,212.85,272.45,13,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-12-8046,Dior Sauvage Eau Forte Collector Edition,dior-sauvage-eau-forte-collector-edition,Dior Sauvage Eau Forte in collector edition format. Fresh mainstream scent profile with strong customer demand.,172.86,221.26,13,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
YVES-01-6176,Y Eau de Parfum Travel Spray 10ml,y-eau-de-parfum-travel-spray-10ml,Y Eau de Parfum in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,34.72,44.44,19,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-02-6176,Y Eau de Parfum 30ml,y-eau-de-parfum-30ml,Y Eau de Parfum in 30ml format. Fresh mainstream scent profile with strong customer demand.,64.48,82.53,24,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-03-6176,Y Eau de Parfum 50ml,y-eau-de-parfum-50ml,Y Eau de Parfum in 50ml format. Fresh mainstream scent profile with strong customer demand.,89.28,114.28,29,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-04-6176,Y Eau de Parfum 100ml,y-eau-de-parfum-100ml,Y Eau de Parfum in 100ml format. Fresh mainstream scent profile with strong customer demand.,124.00,158.72,36,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-05-6176,Y Eau de Parfum 150ml,y-eau-de-parfum-150ml,Y Eau de Parfum in 150ml format. Fresh mainstream scent profile with strong customer demand.,151.28,193.64,29,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-06-6176,Y Eau de Parfum 200ml,y-eau-de-parfum-200ml,Y Eau de Parfum in 200ml format. Fresh mainstream scent profile with strong customer demand.,176.08,225.38,22,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-07-6176,Y Eau de Parfum Gift Set,y-eau-de-parfum-gift-set,Y Eau de Parfum in gift set format. Fresh mainstream scent profile with strong customer demand.,142.60,182.53,14,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-08-6176,Y Eau de Parfum Holiday Box,y-eau-de-parfum-holiday-box,Y Eau de Parfum in holiday box format. Fresh mainstream scent profile with strong customer demand.,146.32,187.29,13,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-09-6176,Y Eau de Parfum Limited Edition,y-eau-de-parfum-limited-edition,Y Eau de Parfum in limited edition format. Fresh mainstream scent profile with strong customer demand.,133.92,171.42,12,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-10-6176,Y Eau de Parfum Refill,y-eau-de-parfum-refill,Y Eau de Parfum in refill format. Fresh mainstream scent profile with strong customer demand.,114.08,146.02,18,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-11-6176,Y Eau de Parfum Duo Pack,y-eau-de-parfum-duo-pack,Y Eau de Parfum in duo pack format. Fresh mainstream scent profile with strong customer demand.,204.60,261.89,13,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
YVES-12-6176,Y Eau de Parfum Collector Edition,y-eau-de-parfum-collector-edition,Y Eau de Parfum in collector edition format. Fresh mainstream scent profile with strong customer demand.,166.16,212.68,13,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,mainstream"
GIOR-01-2979,Acqua di Gio Eau de Toilette Travel Spray 10ml,acqua-di-gio-eau-de-toilette-travel-spray-10ml,Acqua di Gio Eau de Toilette in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,27.72,35.48,19,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-02-2979,Acqua di Gio Eau de Toilette 30ml,acqua-di-gio-eau-de-toilette-30ml,Acqua di Gio Eau de Toilette in 30ml format. Fresh mainstream scent profile with strong customer demand.,51.48,65.89,24,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-03-2979,Acqua di Gio Eau de Toilette 50ml,acqua-di-gio-eau-de-toilette-50ml,Acqua di Gio Eau de Toilette in 50ml format. Fresh mainstream scent profile with strong customer demand.,71.28,91.24,29,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-04-2979,Acqua di Gio Eau de Toilette 100ml,acqua-di-gio-eau-de-toilette-100ml,Acqua di Gio Eau de Toilette in 100ml format. Fresh mainstream scent profile with strong customer demand.,99.00,126.72,36,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-05-2979,Acqua di Gio Eau de Toilette 150ml,acqua-di-gio-eau-de-toilette-150ml,Acqua di Gio Eau de Toilette in 150ml format. Fresh mainstream scent profile with strong customer demand.,120.78,154.60,29,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-06-2979,Acqua di Gio Eau de Toilette 200ml,acqua-di-gio-eau-de-toilette-200ml,Acqua di Gio Eau de Toilette in 200ml format. Fresh mainstream scent profile with strong customer demand.,140.58,179.94,22,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-07-2979,Acqua di Gio Eau de Toilette Gift Set,acqua-di-gio-eau-de-toilette-gift-set,Acqua di Gio Eau de Toilette in gift set format. Fresh mainstream scent profile with strong customer demand.,113.85,145.73,14,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-08-2979,Acqua di Gio Eau de Toilette Holiday Box,acqua-di-gio-eau-de-toilette-holiday-box,Acqua di Gio Eau de Toilette in holiday box format. Fresh mainstream scent profile with strong customer demand.,116.82,149.53,13,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-09-2979,Acqua di Gio Eau de Toilette Limited Edition,acqua-di-gio-eau-de-toilette-limited-edition,Acqua di Gio Eau de Toilette in limited edition format. Fresh mainstream scent profile with strong customer demand.,106.92,136.86,12,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-10-2979,Acqua di Gio Eau de Toilette Refill,acqua-di-gio-eau-de-toilette-refill,Acqua di Gio Eau de Toilette in refill format. Fresh mainstream scent profile with strong customer demand.,91.08,116.58,18,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-11-2979,Acqua di Gio Eau de Toilette Duo Pack,acqua-di-gio-eau-de-toilette-duo-pack,Acqua di Gio Eau de Toilette in duo pack format. Fresh mainstream scent profile with strong customer demand.,163.35,209.09,13,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-12-2979,Acqua di Gio Eau de Toilette Collector Edition,acqua-di-gio-eau-de-toilette-collector-edition,Acqua di Gio Eau de Toilette in collector edition format. Fresh mainstream scent profile with strong customer demand.,132.66,169.80,13,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,mainstream"
GIOR-01-5068,Armani Code Eau de Toilette Travel Spray 10ml,armani-code-eau-de-toilette-travel-spray-10ml,Armani Code Eau de Toilette in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,31.36,40.14,19,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-02-5068,Armani Code Eau de Toilette 30ml,armani-code-eau-de-toilette-30ml,Armani Code Eau de Toilette in 30ml format. Fresh mainstream scent profile with strong customer demand.,58.24,74.55,24,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-03-5068,Armani Code Eau de Toilette 50ml,armani-code-eau-de-toilette-50ml,Armani Code Eau de Toilette in 50ml format. Fresh mainstream scent profile with strong customer demand.,80.64,103.22,29,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-04-5068,Armani Code Eau de Toilette 100ml,armani-code-eau-de-toilette-100ml,Armani Code Eau de Toilette in 100ml format. Fresh mainstream scent profile with strong customer demand.,112.00,143.36,36,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-05-5068,Armani Code Eau de Toilette 150ml,armani-code-eau-de-toilette-150ml,Armani Code Eau de Toilette in 150ml format. Fresh mainstream scent profile with strong customer demand.,136.64,174.90,29,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-06-5068,Armani Code Eau de Toilette 200ml,armani-code-eau-de-toilette-200ml,Armani Code Eau de Toilette in 200ml format. Fresh mainstream scent profile with strong customer demand.,159.04,203.57,22,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-07-5068,Armani Code Eau de Toilette Gift Set,armani-code-eau-de-toilette-gift-set,Armani Code Eau de Toilette in gift set format. Fresh mainstream scent profile with strong customer demand.,128.80,164.86,14,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-08-5068,Armani Code Eau de Toilette Holiday Box,armani-code-eau-de-toilette-holiday-box,Armani Code Eau de Toilette in holiday box format. Fresh mainstream scent profile with strong customer demand.,132.16,169.16,13,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-09-5068,Armani Code Eau de Toilette Limited Edition,armani-code-eau-de-toilette-limited-edition,Armani Code Eau de Toilette in limited edition format. Fresh mainstream scent profile with strong customer demand.,120.96,154.83,12,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-10-5068,Armani Code Eau de Toilette Refill,armani-code-eau-de-toilette-refill,Armani Code Eau de Toilette in refill format. Fresh mainstream scent profile with strong customer demand.,103.04,131.89,18,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-11-5068,Armani Code Eau de Toilette Duo Pack,armani-code-eau-de-toilette-duo-pack,Armani Code Eau de Toilette in duo pack format. Fresh mainstream scent profile with strong customer demand.,184.80,236.54,13,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-12-5068,Armani Code Eau de Toilette Collector Edition,armani-code-eau-de-toilette-collector-edition,Armani Code Eau de Toilette in collector edition format. Fresh mainstream scent profile with strong customer demand.,150.08,192.10,13,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,mainstream"
GIOR-01-6485,Stronger With You Intensely Travel Spray 10ml,stronger-with-you-intensely-travel-spray-10ml,Stronger With You Intensely in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,35.28,45.16,19,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-02-6485,Stronger With You Intensely 30ml,stronger-with-you-intensely-30ml,Stronger With You Intensely in 30ml format. Fresh mainstream scent profile with strong customer demand.,65.52,83.87,24,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-03-6485,Stronger With You Intensely 50ml,stronger-with-you-intensely-50ml,Stronger With You Intensely in 50ml format. Fresh mainstream scent profile with strong customer demand.,90.72,116.12,29,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-04-6485,Stronger With You Intensely 100ml,stronger-with-you-intensely-100ml,Stronger With You Intensely in 100ml format. Fresh mainstream scent profile with strong customer demand.,126.00,161.28,36,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-05-6485,Stronger With You Intensely 150ml,stronger-with-you-intensely-150ml,Stronger With You Intensely in 150ml format. Fresh mainstream scent profile with strong customer demand.,153.72,196.76,29,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-06-6485,Stronger With You Intensely 200ml,stronger-with-you-intensely-200ml,Stronger With You Intensely in 200ml format. Fresh mainstream scent profile with strong customer demand.,178.92,229.02,22,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-07-6485,Stronger With You Intensely Gift Set,stronger-with-you-intensely-gift-set,Stronger With You Intensely in gift set format. Fresh mainstream scent profile with strong customer demand.,144.90,185.47,14,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-08-6485,Stronger With You Intensely Holiday Box,stronger-with-you-intensely-holiday-box,Stronger With You Intensely in holiday box format. Fresh mainstream scent profile with strong customer demand.,148.68,190.31,13,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-09-6485,Stronger With You Intensely Limited Edition,stronger-with-you-intensely-limited-edition,Stronger With You Intensely in limited edition format. Fresh mainstream scent profile with strong customer demand.,136.08,174.18,12,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-10-6485,Stronger With You Intensely Refill,stronger-with-you-intensely-refill,Stronger With You Intensely in refill format. Fresh mainstream scent profile with strong customer demand.,115.92,148.38,18,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-11-6485,Stronger With You Intensely Duo Pack,stronger-with-you-intensely-duo-pack,Stronger With You Intensely in duo pack format. Fresh mainstream scent profile with strong customer demand.,207.90,266.11,13,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
GIOR-12-6485,Stronger With You Intensely Collector Edition,stronger-with-you-intensely-collector-edition,Stronger With You Intensely in collector edition format. Fresh mainstream scent profile with strong customer demand.,168.84,216.12,13,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,mainstream"
VERS-01-9088,Versace Eros Eau de Parfum Travel Spray 10ml,versace-eros-eau-de-parfum-travel-spray-10ml,Versace Eros Eau de Parfum in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,32.76,41.93,19,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-02-9088,Versace Eros Eau de Parfum 30ml,versace-eros-eau-de-parfum-30ml,Versace Eros Eau de Parfum in 30ml format. Fresh mainstream scent profile with strong customer demand.,60.84,77.88,24,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-03-9088,Versace Eros Eau de Parfum 50ml,versace-eros-eau-de-parfum-50ml,Versace Eros Eau de Parfum in 50ml format. Fresh mainstream scent profile with strong customer demand.,84.24,107.83,29,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-04-9088,Versace Eros Eau de Parfum 100ml,versace-eros-eau-de-parfum-100ml,Versace Eros Eau de Parfum in 100ml format. Fresh mainstream scent profile with strong customer demand.,117.00,149.76,36,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-05-9088,Versace Eros Eau de Parfum 150ml,versace-eros-eau-de-parfum-150ml,Versace Eros Eau de Parfum in 150ml format. Fresh mainstream scent profile with strong customer demand.,142.74,182.71,29,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-06-9088,Versace Eros Eau de Parfum 200ml,versace-eros-eau-de-parfum-200ml,Versace Eros Eau de Parfum in 200ml format. Fresh mainstream scent profile with strong customer demand.,166.14,212.66,22,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-07-9088,Versace Eros Eau de Parfum Gift Set,versace-eros-eau-de-parfum-gift-set,Versace Eros Eau de Parfum in gift set format. Fresh mainstream scent profile with strong customer demand.,134.55,172.22,14,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-08-9088,Versace Eros Eau de Parfum Holiday Box,versace-eros-eau-de-parfum-holiday-box,Versace Eros Eau de Parfum in holiday box format. Fresh mainstream scent profile with strong customer demand.,138.06,176.72,13,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-09-9088,Versace Eros Eau de Parfum Limited Edition,versace-eros-eau-de-parfum-limited-edition,Versace Eros Eau de Parfum in limited edition format. Fresh mainstream scent profile with strong customer demand.,126.36,161.74,12,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-10-9088,Versace Eros Eau de Parfum Refill,versace-eros-eau-de-parfum-refill,Versace Eros Eau de Parfum in refill format. Fresh mainstream scent profile with strong customer demand.,107.64,137.78,18,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-11-9088,Versace Eros Eau de Parfum Duo Pack,versace-eros-eau-de-parfum-duo-pack,Versace Eros Eau de Parfum in duo pack format. Fresh mainstream scent profile with strong customer demand.,193.05,247.10,13,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
VERS-12-9088,Versace Eros Eau de Parfum Collector Edition,versace-eros-eau-de-parfum-collector-edition,Versace Eros Eau de Parfum in collector edition format. Fresh mainstream scent profile with strong customer demand.,156.78,200.68,13,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,mainstream"
