Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
drop2-ysl-y-city-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Y Eau de Parfum City Edition image 2,
drop2-ysl-y-city-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Y Eau de Parfum City Edition image 3,
drop2-ysl-y-city-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Y Eau de Parfum City Edition image 4,
drop2-ysl-y-city-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Y Eau de Parfum City Edition image 5,
drop2-acqua-di-gio-ocean-kit,Acqua di Gio Ocean Kit,<p>Acqua di Gio Ocean Kit with a clean modern scent profile. Limited drop release.</p>,Giorgio Armani,Cologne Gift Set,"cologne,men,armani,drop2",TRUE,Title,Default Title,DROP2-ARM-004,350,23,deny,manual,109.00,145.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,1,Acqua di Gio Ocean Kit image 1,active
drop2-acqua-di-gio-ocean-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Acqua di Gio Ocean Kit image 2,
drop2-acqua-di-gio-ocean-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Acqua di Gio Ocean Kit image 3,
drop2-acqua-di-gio-ocean-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Acqua di Gio Ocean Kit image 4,
drop2-acqua-di-gio-ocean-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Acqua di Gio Ocean Kit image 5,
drop2-armani-code-black-label,Armani Code Black Label,<p>Armani Code Black Label with a clean modern scent profile. Limited drop release.</p>,Giorgio Armani,Cologne,"cologne,men,armani,drop2",TRUE,Title,Default Title,DROP2-ARM-005,350,24,deny,manual,119.00,155.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,1,Armani Code Black Label image 1,active
drop2-armani-code-black-label,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Armani Code Black Label image 2,
drop2-armani-code-black-label,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Armani Code Black Label image 3,
drop2-armani-code-black-label,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Armani Code Black Label image 4,
drop2-armani-code-black-label,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Armani Code Black Label image 5,
drop2-stronger-with-you-night,Stronger With You Night Reserve,<p>Stronger With You Night Reserve with a clean modern scent profile. Limited drop release.</p>,Giorgio Armani,Cologne,"cologne,men,armani,drop2",TRUE,Title,Default Title,DROP2-ARM-006,350,25,deny,manual,134.00,174.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,1,Stronger With You Night Reserve image 1,active
drop2-stronger-with-you-night,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Stronger With You Night Reserve image 2,
drop2-stronger-with-you-night,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Stronger With You Night Reserve image 3,
drop2-stronger-with-you-night,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Stronger With You Night Reserve image 4,
drop2-stronger-with-you-night,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Stronger With You Night Reserve image 5,
drop2-versace-eros-premium,Versace Eros Premium Box,<p>Versace Eros Premium Box with a clean modern scent profile. Limited drop release.</p>,Versace,Cologne Gift Set,"cologne,men,versace,drop2",TRUE,Title,Default Title,DROP2-VRS-007,350,26,deny,manual,127.00,165.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,1,Versace Eros Premium Box image 1,active
drop2-versace-eros-premium,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Versace Eros Premium Box image 2,
drop2-versace-eros-premium,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Versace Eros Premium Box image 3,
drop2-versace-eros-premium,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Versace Eros Premium Box image 4,
drop2-versace-eros-premium,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Versace Eros Premium Box image 5,
drop2-prada-luna-city-kit,Prada Luna City Kit,<p>Prada Luna City Kit with a clean modern scent profile. Limited drop release.</p>,Prada,Cologne Gift Set,"cologne,men,prada,drop2",TRUE,Title,Default Title,DROP2-PRD-008,350,27,deny,manual,125.00,162.00,TRUE,TRUE,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,1,Prada Luna City Kit image 1,active
drop2-prada-luna-city-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Prada Luna City Kit image 2,
drop2-prada-luna-city-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Prada Luna City Kit image 3,
drop2-prada-luna-city-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Prada Luna City Kit image 4,
drop2-prada-luna-city-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Prada Luna City Kit image 5,
drop2-burberry-hero-urban-box,Burberry Hero Urban Box,<p>Burberry Hero Urban Box with a clean modern scent profile. Limited drop release.</p>,Burberry,Cologne Gift Set,"cologne,men,burberry,drop2",TRUE,Title,Default Title,DROP2-BRB-009,350,28,deny,manual,121.00,159.00,TRUE,TRUE,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,1,Burberry Hero Urban Box image 1,active
drop2-burberry-hero-urban-box,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Burberry Hero Urban Box image 2,
drop2-burberry-hero-urban-box,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Burberry Hero Urban Box image 3,
drop2-burberry-hero-urban-box,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Burberry Hero Urban Box image 4,
drop2-burberry-hero-urban-box,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Burberry Hero Urban Box image 5,
drop2-signature-cologne-collection,Signature Cologne Collection Vol. 2,<p>Signature Cologne Collection Vol. 2 with a clean modern scent profile. Limited drop release.</p>,Dumbdollars,Cologne Bundle,"cologne,men,bundle,drop2",TRUE,Title,Default Title,DROP2-DUM-010,350,29,deny,manual,149.00,199.00,TRUE,TRUE,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,1,Signature Cologne Collection Vol. 2 image 1,active
drop2-signature-cologne-collection,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Signature Cologne Collection Vol. 2 image 2,
drop2-signature-cologne-collection,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Signature Cologne Collection Vol. 2 image 3,
drop2-signature-cologne-collection,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Signature Cologne Collection Vol. 2 image 4,
drop2-signature-cologne-collection,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Signature Cologne Collection Vol. 2 image 5,
