SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
TOMFORD-OUDWOOD-50,Tom Ford Oud Wood 50ml,"Tom Ford Oud Wood 50ml is a woody oriental men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for formal evenings, luxury events, and special occasions. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",175.00,229.00,50,,active,"Tom Ford,men,designer,woody oriental,evening,formal,date,fall"
TOMFORD-TOBACCOVANILLE-50,Tom Ford Tobacco Vanille 50ml,"Tom Ford Tobacco Vanille 50ml is a oriental spicy gourmand men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 10+ hours of wear with strong sillage, making it dependable for cold-weather nights, formal events, and upscale evenings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine...",175.00,235.00,50,,active,"Tom Ford,men,designer,oriental spicy gourmand,evening,date,winter,formal"
CREED-AVENTUS-100,Creed Aventus 100ml,"Creed Aventus 100ml is a fruity woody chypre men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for executive wear, formal events, and everyday luxury. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top...",175.00,229.00,50,,active,"Creed,men,designer,fruity woody chypre,work,date,formal,all-season"
BURBERRY-HEROEDP-100,Burberry Hero EDP 100ml,"Burberry Hero EDP 100ml is a woody resinous men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for smart casual wear, evenings, and cooler weather. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes: Pine...",118.00,155.00,50,,active,"Burberry,men,designer,woody resinous,work,evening,fall,winter"
HUGOBOSS-BOTTLED-100,Hugo Boss Bottled 100ml,"Hugo Boss Bottled 100ml is a woody spicy fruity men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 6-8 hours of wear with moderate sillage, making it dependable for daily office wear, casual outings, and versatile use. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",90.00,119.00,50,,active,"Hugo Boss,men,designer,woody spicy fruity,work,daily,fall,all-season"
DOLCEGABBANA-THEONE-100,Dolce & Gabbana The One 100ml,"Dolce & Gabbana The One 100ml is a woody spicy oriental men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 5-7 hours of wear with moderate sillage, making it dependable for date nights and refined evening settings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",99.00,132.00,50,,active,"Dolce & Gabbana,men,designer,woody spicy oriental,date,evening,fall,winter"
GIVENCHY-GENTLEMANEDP-100,Givenchy Gentleman EDP 100ml,"Givenchy Gentleman EDP 100ml is a oriental woody men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for evening wear, date nights, and colder seasons. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top...",115.00,149.00,50,,active,"Givenchy,men,designer,oriental woody,evening,date,fall,winter"
MONTBLANC-EXPLORER-100,Montblanc Explorer 100ml,"Montblanc Explorer 100ml is a woody aromatic men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for office wear, travel, and all-day versatility. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes: Bergamot,...",95.00,125.00,50,,active,"Montblanc,men,designer,woody aromatic,work,daily,date,all-season"
VERSACE-DYLANBLUE-100,Versace Dylan Blue 100ml,"Versace Dylan Blue 100ml is a aromatic fougere fresh men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate to strong sillage, making it dependable for daily wear, evenings out, and versatile signature use. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine...",92.00,122.00,50,,active,"Versace,men,designer,aromatic fougere fresh,work,date,evening,all-season"
CALVINKLEIN-ETERNITY-100,Calvin Klein Eternity for Men 100ml,"Calvin Klein Eternity for Men 100ml is a aromatic fougere men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 5-7 hours of wear with moderate sillage, making it dependable for daytime wear, office settings, and spring-summer use. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base....",85.00,109.00,50,,active,"Calvin Klein,men,designer,aromatic fougere,work,daily,spring,summer"
CAROLINAHERRERA-BADBOY-100,Carolina Herrera Bad Boy 100ml,"Carolina Herrera Bad Boy 100ml is a oriental spicy men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate to strong sillage, making it dependable for date nights, parties, and cooler weather. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",112.00,149.00,50,,active,"Carolina Herrera,men,designer,oriental spicy,date,evening,fall,winter"
AZZARO-THEMOSTWANTED-100,Azzaro The Most Wanted 100ml,"Azzaro The Most Wanted 100ml is a amber spicy men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with strong sillage, making it dependable for nightlife, dates, and cold-weather nights. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes: Ginger Middle...",125.00,165.00,50,,active,"Azzaro,men,designer,amber spicy,date,evening,fall,winter"
MONTBLANC-LEGEND-100,Mont Blanc Legend 100ml,"Mont Blanc Legend 100ml is a aromatic fougere fruity men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 6-8 hours of wear with moderate sillage, making it dependable for office wear, daytime outings, and easy daily rotation. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top...",88.00,115.00,50,,active,"Mont Blanc,men,designer,aromatic fougere fruity,work,daily,spring,all-season"
CHANEL-ALLUREHOMMESPORT-100,Chanel Allure Homme Sport 100ml,"Chanel Allure Homme Sport 100ml is a citrus aromatic men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 6-8 hours of wear with moderate sillage, making it dependable for warm-weather wear, gym-to-office transitions, and weekends. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base....",145.00,189.00,50,,active,"Chanel,men,designer,citrus aromatic,work,summer,casual,daily"
ARMANI-STRONGERWITHYOU-100,Giorgio Armani Stronger With You 100ml,"Giorgio Armani Stronger With You 100ml is a oriental fougere sweet men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for date nights, evening events, and colder seasons. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth...",120.00,159.00,50,,active,"Giorgio Armani,men,designer,oriental fougere sweet,date,evening,fall,winter"
