Item ID,Product Name,Category Path,Price,Product URL
SBS-405602,Permanent Brights Creme Hair Color Garnet,hair color / shop by color / red hair color,$9.99,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/permanent-brights-creme-hair-color-garnet/SBS-405602.html
SBS-005973,Semi-Permanent Hair Color Paradox,hair color / shop by type / semi permanent hair color,$8.79,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/semi-permanent-hair-color-paradox/SBS-005973.html
SBS-009577,B44W Intense Red Semi Permanent Moisturizing Hair Color,hair color / shop by type / semi permanent hair color,$11.49,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/b44w-intense-red-semi-permanent-moisturizing-hair-color/SBS-009577.html
SBS-007835,Red Direct Vibes Semi Permanent Hair Color,hair color / shop by type / semi permanent hair color,$16.49,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/red-direct-vibes-semi-permanent-hair-color/SBS-007835.html
SBS-005972,Semi-Permanent Hair Color Muse,hair color / shop by type / semi permanent hair color,$8.79,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/semi-permanent-hair-color-muse/SBS-005972.html
SBS-025051,Semi-Permanent Brights Hair Color Titanium,hair color / shop by type / semi permanent hair color,$11.49,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/semi-permanent-brights-hair-color-titanium/SBS-025051.html
SBS-124600,20 Volume Gentle Creme Developer 4 Oz,hair color / other products and applications / developer,$5.79,https://www.sallybeauty.com/hair-color/other-products-and-applications/developer/20-volume-gentle-creme-developer-4-oz/SBS-124600.html
SBS-009033,Cream Developer 40 Volume 32 Oz,hair color / other products and applications / developer,$11.09,https://www.sallybeauty.com/hair-color/other-products-and-applications/developer/cream-developer-40-volume/SBS-009033.html
SBS-016281,Ultra Bond 5-Minute Toner 5 Volume Developer,hair color / other products and applications / developer,$6.49,https://www.sallybeauty.com/hair-color/other-products-and-applications/developer/ultra-bond-5-minute-toner-5-volume-developer/SBS-016281.html
SBS-018939,Crème Activator,hair color / other products and applications / developer,$6.99,https://www.sallybeauty.com/hair-color/other-products-and-applications/developer/cr%C3%A8me-activator/SBS-018939.html
SBS-018930,High Gloss Clear Bonding Toner Demi-Permanent Hair Color,hair color / other products and applications / toner,$12.99,https://www.sallybeauty.com/hair-color/other-products-and-applications/toner/bonding-high-gloss-clear/SBS-018930.html
SBS-019388,Intense Ash Blonde Permanent Liquid Toner,hair color / other products and applications / toner,$9.99,https://www.sallybeauty.com/hair-color/other-products-and-applications/toner/intense-ash-blonde-permanent-liquid-toner/SBS-019388.html
SBS-019528,Grey Essential Toner - Light Grey,shop by shade / silver and gray hair shop / grey essentials light grey toner,$9.99,https://www.sallybeauty.com/shop-by-shade/silver-and-gray-hair-shop/grey-essentials-light-grey-toner/SBS-019528.html
SBS-001381,Intense Recovery Treatment,hair care / shop by product / hair treatments,$12.99,https://www.sallybeauty.com/hair-care/shop-by-product/hair-treatments/intense-recovery-treatment/SBS-001381.html
SBS-008013,Ionic Travel Dryer,hair care / hair styling tools / hair dryers,$53.99,https://www.sallybeauty.com/hair-care/hair-styling-tools/hair-dryers/ionic-travel-dryer/SBS-008013.html
SBS-019597,Sweat Activated Dry Shampoo,hair care / shop by product / shampoo,$14.55,https://www.sallybeauty.com/hair-care/shop-by-product/shampoo/dry-shampoo/sweat-activated-dry-shampoo/SBS-019597.html
SBS-015546,Standing Hot Rollers,hair care / hair styling tools / hair rollers and curlers,$99.99,https://www.sallybeauty.com/hair-care/hair-styling-tools/hair-rollers-and-curlers/standing-hot-rollers/SBS-015546.html
SBS-345331,Silver Metals Cordless Clipper,hair care / hair styling tools / hair clippers and trimmers,$259.99,https://www.sallybeauty.com/hair-care/hair-styling-tools/hair-clippers-and-trimmers/silver-metals-cordless-clipper/SBS-345331.html
SBS-646880,Ceramic Tourmaline Interchangeable Hot Air Brush,hair care / hair styling tools / ceramic tourmaline interchangeable hot air brush,$22.49,https://www.sallybeauty.com/hair-care/hair-styling-tools/ceramic-tourmaline-interchangeable-hot-air-brush/SBS-646880.html
SBS-680010,Kaleidoscopic Detangler Brush,hair care / hair styling tools / brushes and combs,$4.89,https://www.sallybeauty.com/hair-care/hair-styling-tools/brushes-and-combs/kaleidoscopic-detangler-brush/SBS-680010.html
SBS-487110,Heat Resistant Glove,hair care / hair styling tools / heat resistant glove,$5.99,https://www.sallybeauty.com/hair-care/hair-styling-tools/heat-resistant-glove/SBS-487110.html
SBS-002084,Moisture Luxe Detangling Spray,hair care / shop by product / conditioner,$12.99,https://www.sallybeauty.com/hair-care/shop-by-product/conditioner/moisture-luxe-detangling-spray/SBS-002084.html
SBS-007180,Leave-In Conditioner,hair care / shop by product / conditioner,$12.79,https://www.sallybeauty.com/hair-care/shop-by-product/conditioner/leave-in-conditioners/leave-in-conditioner/SBS-007180.html
SBS-007729,Leave-in Conditioner,hair care / shop by product / conditioner,$19.99,https://www.sallybeauty.com/hair-care/shop-by-product/conditioner/leave-in-conditioner/leave-in-conditioner/SBS-007729.html
SBS-017402,Anti-Breakage Spray,hair care / shop by product / conditioner,$16.49,https://www.sallybeauty.com/hair-care/shop-by-product/conditioner/leave-in-conditioner/anti-breakage-spray/SBS-017402.html
SBS-527317,LED & UV Clear Gel,nails / acrylic nails and polygel / polygel hard gel and builder gel,$15.79,https://www.sallybeauty.com/nails/acrylic-nails-and-polygel/polygel-hard-gel-and-builder-gel/led-and-uv-clear-gel/SBS-527317.html
