SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
NECK-0014,Minimal Black Necklace 14,minimal-black-necklace-14,Minimal necklace in black finish. Great for daily wear and gifting.,61.04,79.35,24,https://picsum.photos/seed/neck-0014/1200/1200,active,"necklace,jewelry"
NECK-0015,Modern Steel Necklace 15,modern-steel-necklace-15,Modern necklace in steel finish. Great for daily wear and gifting.,64.20,83.46,25,https://picsum.photos/seed/neck-0015/1200/1200,active,"necklace,jewelry"
NECK-0016,Luxury Silver Necklace 16,luxury-silver-necklace-16,Luxury necklace in silver finish. Great for daily wear and gifting.,67.36,87.57,26,https://picsum.photos/seed/neck-0016/1200/1200,active,"necklace,jewelry"
NECK-0017,Everyday Gold Necklace 17,everyday-gold-necklace-17,Everyday necklace in gold finish. Great for daily wear and gifting.,70.52,91.68,27,https://picsum.photos/seed/neck-0017/1200/1200,active,"necklace,jewelry"
NECK-0018,Premium Rose Gold Necklace 18,premium-rose-gold-necklace-18,Premium necklace in rose gold finish. Great for daily wear and gifting.,73.67,95.77,28,https://picsum.photos/seed/neck-0018/1200/1200,active,"necklace,jewelry"
NECK-0019,Classic Black Necklace 19,classic-black-necklace-19,Classic necklace in black finish. Great for daily wear and gifting.,76.83,99.88,29,https://picsum.photos/seed/neck-0019/1200/1200,active,"necklace,jewelry"
NECK-0020,Minimal Steel Necklace 20,minimal-steel-necklace-20,Minimal necklace in steel finish. Great for daily wear and gifting.,79.99,103.99,30,https://picsum.photos/seed/neck-0020/1200/1200,active,"necklace,jewelry"
BRACE-0001,Classic Silver Bracelet 01,classic-silver-bracelet-01,Classic bracelet in silver finish. Great for daily wear and gifting.,16.99,22.09,11,https://picsum.photos/seed/brace-0001/1200/1200,active,"bracelet,jewelry"
BRACE-0002,Minimal Gold Bracelet 02,minimal-gold-bracelet-02,Minimal bracelet in gold finish. Great for daily wear and gifting.,19.25,25.03,12,https://picsum.photos/seed/brace-0002/1200/1200,active,"bracelet,jewelry"
BRACE-0003,Modern Rose Gold Bracelet 03,modern-rose-gold-bracelet-03,Modern bracelet in rose gold finish. Great for daily wear and gifting.,21.52,27.98,13,https://picsum.photos/seed/brace-0003/1200/1200,active,"bracelet,jewelry"
BRACE-0004,Luxury Black Bracelet 04,luxury-black-bracelet-04,Luxury bracelet in black finish. Great for daily wear and gifting.,23.78,30.91,14,https://picsum.photos/seed/brace-0004/1200/1200,active,"bracelet,jewelry"
BRACE-0005,Everyday Steel Bracelet 05,everyday-steel-bracelet-05,Everyday bracelet in steel finish. Great for daily wear and gifting.,26.04,33.85,15,https://picsum.photos/seed/brace-0005/1200/1200,active,"bracelet,jewelry"
BRACE-0006,Premium Silver Bracelet 06,premium-silver-bracelet-06,Premium bracelet in silver finish. Great for daily wear and gifting.,28.31,36.80,16,https://picsum.photos/seed/brace-0006/1200/1200,active,"bracelet,jewelry"
BRACE-0007,Classic Gold Bracelet 07,classic-gold-bracelet-07,Classic bracelet in gold finish. Great for daily wear and gifting.,30.57,39.74,17,https://picsum.photos/seed/brace-0007/1200/1200,active,"bracelet,jewelry"
BRACE-0008,Minimal Rose Gold Bracelet 08,minimal-rose-gold-bracelet-08,Minimal bracelet in rose gold finish. Great for daily wear and gifting.,32.83,42.68,18,https://picsum.photos/seed/brace-0008/1200/1200,active,"bracelet,jewelry"
BRACE-0009,Modern Black Bracelet 09,modern-black-bracelet-09,Modern bracelet in black finish. Great for daily wear and gifting.,35.10,45.63,19,https://picsum.photos/seed/brace-0009/1200/1200,active,"bracelet,jewelry"
BRACE-0010,Luxury Steel Bracelet 10,luxury-steel-bracelet-10,Luxury bracelet in steel finish. Great for daily wear and gifting.,37.36,48.57,20,https://picsum.photos/seed/brace-0010/1200/1200,active,"bracelet,jewelry"
BRACE-0011,Everyday Silver Bracelet 11,everyday-silver-bracelet-11,Everyday bracelet in silver finish. Great for daily wear and gifting.,39.62,51.51,21,https://picsum.photos/seed/brace-0011/1200/1200,active,"bracelet,jewelry"
BRACE-0012,Premium Gold Bracelet 12,premium-gold-bracelet-12,Premium bracelet in gold finish. Great for daily wear and gifting.,41.88,54.44,22,https://picsum.photos/seed/brace-0012/1200/1200,active,"bracelet,jewelry"
BRACE-0013,Classic Rose Gold Bracelet 13,classic-rose-gold-bracelet-13,Classic bracelet in rose gold finish. Great for daily wear and gifting.,44.15,57.40,23,https://picsum.photos/seed/brace-0013/1200/1200,active,"bracelet,jewelry"
BRACE-0014,Minimal Black Bracelet 14,minimal-black-bracelet-14,Minimal bracelet in black finish. Great for daily wear and gifting.,46.41,60.33,24,https://picsum.photos/seed/brace-0014/1200/1200,active,"bracelet,jewelry"
BRACE-0015,Modern Steel Bracelet 15,modern-steel-bracelet-15,Modern bracelet in steel finish. Great for daily wear and gifting.,48.67,63.27,25,https://picsum.photos/seed/brace-0015/1200/1200,active,"bracelet,jewelry"
BRACE-0016,Luxury Silver Bracelet 16,luxury-silver-bracelet-16,Luxury bracelet in silver finish. Great for daily wear and gifting.,50.94,66.22,26,https://picsum.photos/seed/brace-0016/1200/1200,active,"bracelet,jewelry"
BRACE-0017,Everyday Gold Bracelet 17,everyday-gold-bracelet-17,Everyday bracelet in gold finish. Great for daily wear and gifting.,53.20,69.16,27,https://picsum.photos/seed/brace-0017/1200/1200,active,"bracelet,jewelry"
BRACE-0018,Premium Rose Gold Bracelet 18,premium-rose-gold-bracelet-18,Premium bracelet in rose gold finish. Great for daily wear and gifting.,55.46,72.10,28,https://picsum.photos/seed/brace-0018/1200/1200,active,"bracelet,jewelry"
BRACE-0019,Classic Black Bracelet 19,classic-black-bracelet-19,Classic bracelet in black finish. Great for daily wear and gifting.,57.73,75.05,29,https://picsum.photos/seed/brace-0019/1200/1200,active,"bracelet,jewelry"
BRACE-0020,Minimal Steel Bracelet 20,minimal-steel-bracelet-20,Minimal bracelet in steel finish. Great for daily wear and gifting.,59.99,77.99,30,https://picsum.photos/seed/brace-0020/1200/1200,active,"bracelet,jewelry"
EAR-0001,Classic Silver Earrings 01,classic-silver-earrings-01,Classic earrings in silver finish. Great for daily wear and gifting.,12.99,16.89,11,https://picsum.photos/seed/ear-0001/1200/1200,active,"earrings,jewelry"
EAR-0002,Minimal Gold Earrings 02,minimal-gold-earrings-02,Minimal earrings in gold finish. Great for daily wear and gifting.,14.41,18.73,12,https://picsum.photos/seed/ear-0002/1200/1200,active,"earrings,jewelry"
EAR-0003,Modern Rose Gold Earrings 03,modern-rose-gold-earrings-03,Modern earrings in rose gold finish. Great for daily wear and gifting.,15.83,20.58,13,https://picsum.photos/seed/ear-0003/1200/1200,active,"earrings,jewelry"
EAR-0004,Luxury Black Earrings 04,luxury-black-earrings-04,Luxury earrings in black finish. Great for daily wear and gifting.,17.25,22.43,14,https://picsum.photos/seed/ear-0004/1200/1200,active,"earrings,jewelry"
EAR-0005,Everyday Steel Earrings 05,everyday-steel-earrings-05,Everyday earrings in steel finish. Great for daily wear and gifting.,18.67,24.27,15,https://picsum.photos/seed/ear-0005/1200/1200,active,"earrings,jewelry"
EAR-0006,Premium Silver Earrings 06,premium-silver-earrings-06,Premium earrings in silver finish. Great for daily wear and gifting.,20.10,26.13,16,https://picsum.photos/seed/ear-0006/1200/1200,active,"earrings,jewelry"
EAR-0007,Classic Gold Earrings 07,classic-gold-earrings-07,Classic earrings in gold finish. Great for daily wear and gifting.,21.52,27.98,17,https://picsum.photos/seed/ear-0007/1200/1200,active,"earrings,jewelry"
EAR-0008,Minimal Rose Gold Earrings 08,minimal-rose-gold-earrings-08,Minimal earrings in rose gold finish. Great for daily wear and gifting.,22.94,29.82,18,https://picsum.photos/seed/ear-0008/1200/1200,active,"earrings,jewelry"
EAR-0009,Modern Black Earrings 09,modern-black-earrings-09,Modern earrings in black finish. Great for daily wear and gifting.,24.36,31.67,19,https://picsum.photos/seed/ear-0009/1200/1200,active,"earrings,jewelry"
EAR-0010,Luxury Steel Earrings 10,luxury-steel-earrings-10,Luxury earrings in steel finish. Great for daily wear and gifting.,25.78,33.51,20,https://picsum.photos/seed/ear-0010/1200/1200,active,"earrings,jewelry"
EAR-0011,Everyday Silver Earrings 11,everyday-silver-earrings-11,Everyday earrings in silver finish. Great for daily wear and gifting.,27.20,35.36,21,https://picsum.photos/seed/ear-0011/1200/1200,active,"earrings,jewelry"
EAR-0012,Premium Gold Earrings 12,premium-gold-earrings-12,Premium earrings in gold finish. Great for daily wear and gifting.,28.62,37.21,22,https://picsum.photos/seed/ear-0012/1200/1200,active,"earrings,jewelry"
EAR-0013,Classic Rose Gold Earrings 13,classic-rose-gold-earrings-13,Classic earrings in rose gold finish. Great for daily wear and gifting.,30.04,39.05,23,https://picsum.photos/seed/ear-0013/1200/1200,active,"earrings,jewelry"
EAR-0014,Minimal Black Earrings 14,minimal-black-earrings-14,Minimal earrings in black finish. Great for daily wear and gifting.,31.46,40.90,24,https://picsum.photos/seed/ear-0014/1200/1200,active,"earrings,jewelry"
EAR-0015,Modern Steel Earrings 15,modern-steel-earrings-15,Modern earrings in steel finish. Great for daily wear and gifting.,32.88,42.74,25,https://picsum.photos/seed/ear-0015/1200/1200,active,"earrings,jewelry"
EAR-0016,Luxury Silver Earrings 16,luxury-silver-earrings-16,Luxury earrings in silver finish. Great for daily wear and gifting.,34.31,44.60,26,https://picsum.photos/seed/ear-0016/1200/1200,active,"earrings,jewelry"
EAR-0017,Everyday Gold Earrings 17,everyday-gold-earrings-17,Everyday earrings in gold finish. Great for daily wear and gifting.,35.73,46.45,27,https://picsum.photos/seed/ear-0017/1200/1200,active,"earrings,jewelry"
EAR-0018,Premium Rose Gold Earrings 18,premium-rose-gold-earrings-18,Premium earrings in rose gold finish. Great for daily wear and gifting.,37.15,48.30,28,https://picsum.photos/seed/ear-0018/1200/1200,active,"earrings,jewelry"
EAR-0019,Classic Black Earrings 19,classic-black-earrings-19,Classic earrings in black finish. Great for daily wear and gifting.,38.57,50.14,29,https://picsum.photos/seed/ear-0019/1200/1200,active,"earrings,jewelry"
EAR-0020,Minimal Steel Earrings 20,minimal-steel-earrings-20,Minimal earrings in steel finish. Great for daily wear and gifting.,39.99,51.99,30,https://picsum.photos/seed/ear-0020/1200/1200,active,"earrings,jewelry"
