Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
tom-ford-oud-wood-50ml,Tom Ford Oud Wood 50ml,"<p>Tom Ford Oud Wood 50ml is a woody oriental men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for formal evenings, luxury events, and special occasions. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Rosewood, cardamom, Chinese pepper</li><li><strong>Middle notes:</strong> Oud, sandalwood, vetiver</li><li><strong>Base notes:</strong> Tonka bean, vanilla, amber</li></ul><p>Best suited to formal evenings, luxury events, and special occasions, this fragrance is aimed at men wanting sophisticated oud without overpowering intensity. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Tom Ford,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Tom Ford,men,designer,woody oriental,evening,formal,date,fall",TRUE,Size,50ml,TOMFORD-OUDWOOD-50,500,shopify,50,deny,manual,175.00,229.00,TRUE,TRUE,,1,Tom Ford Oud Wood 50ml cologne bottle - authentic designer fragrance,Buy Tom Ford Oud Wood | Authentic | Dumbdollars,"Shop Tom Ford Oud Wood 50ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
tom-ford-tobacco-vanille-50ml,Tom Ford Tobacco Vanille 50ml,"<p>Tom Ford Tobacco Vanille 50ml is a oriental spicy gourmand men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 10+ hours of wear with strong sillage, making it dependable for cold-weather nights, formal events, and upscale evenings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Tobacco leaf, spicy notes</li><li><strong>Middle notes:</strong> Vanilla, cacao, tonka bean, tobacco blossom</li><li><strong>Base notes:</strong> Dried fruits, woody notes</li></ul><p>Best suited to cold-weather nights, formal events, and upscale evenings, this fragrance is aimed at men who enjoy rich tobacco-vanilla statement fragrances. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Tom Ford,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Tom Ford,men,designer,oriental spicy gourmand,evening,date,winter,formal",TRUE,Size,50ml,TOMFORD-TOBACCOVANILLE-50,500,shopify,50,deny,manual,175.00,235.00,TRUE,TRUE,,1,Tom Ford Tobacco Vanille 50ml cologne bottle - authentic designer fragrance,Buy Tom Ford Tobacco Vanille | Authentic | Dumbdollars,"Shop Tom Ford Tobacco Vanille 50ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
creed-aventus-100ml,Creed Aventus 100ml,"<p>Creed Aventus 100ml is a fruity woody chypre men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for executive wear, formal events, and everyday luxury. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Pineapple, bergamot, black currant, apple</li><li><strong>Middle notes:</strong> Birch, patchouli, jasmine, rose</li><li><strong>Base notes:</strong> Musk, oakmoss, ambergris, vanilla</li></ul><p>Best suited to executive wear, formal events, and everyday luxury, this fragrance is aimed at men who want a premium, confident signature fragrance. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Creed,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Creed,men,designer,fruity woody chypre,work,date,formal,all-season",TRUE,Size,100ml,CREED-AVENTUS-100,500,shopify,50,deny,manual,175.00,229.00,TRUE,TRUE,,1,Creed Aventus 100ml cologne bottle - authentic designer fragrance,Buy Creed Aventus | Authentic | Dumbdollars,"Shop Creed Aventus 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
burberry-hero-edp-100ml,Burberry Hero EDP 100ml,"<p>Burberry Hero EDP 100ml is a woody resinous men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for smart casual wear, evenings, and cooler weather. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Pine needles, olibanum</li><li><strong>Middle notes:</strong> Benzoin, incense</li><li><strong>Base notes:</strong> Atlas cedar, Himalayan cedar, Virginia cedar</li></ul><p>Best suited to smart casual wear, evenings, and cooler weather, this fragrance is aimed at men drawn to modern woody scents with warm resin accents. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Burberry,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Burberry,men,designer,woody resinous,work,evening,fall,winter",TRUE,Size,100ml,BURBERRY-HEROEDP-100,500,shopify,50,deny,manual,118.00,155.00,TRUE,TRUE,,1,Burberry Hero EDP 100ml cologne bottle - authentic designer fragrance,Buy Burberry Hero EDP | Authentic | Dumbdollars,"Shop Burberry Hero EDP 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
hugo-boss-bottled-100ml,Hugo Boss Bottled 100ml,"<p>Hugo Boss Bottled 100ml is a woody spicy fruity men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 6-8 hours of wear with moderate sillage, making it dependable for daily office wear, casual outings, and versatile use. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Apple, plum, bergamot, lemon</li><li><strong>Middle notes:</strong> Cinnamon, mahogany, carnation</li><li><strong>Base notes:</strong> Vanilla, sandalwood, cedar, olive tree, vetiver</li></ul><p>Best suited to daily office wear, casual outings, and versatile use, this fragrance is aimed at men who want a classic crowd-pleasing everyday scent. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Hugo Boss,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Hugo Boss,men,designer,woody spicy fruity,work,daily,fall,all-season",TRUE,Size,100ml,HUGOBOSS-BOTTLED-100,500,shopify,50,deny,manual,90.00,119.00,TRUE,TRUE,,1,Hugo Boss Bottled 100ml cologne bottle - authentic designer fragrance,Buy Hugo Boss Bottled | Authentic | Dumbdollars,"Shop Hugo Boss Bottled 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
dolce-and-gabbana-the-one-100ml,Dolce & Gabbana The One 100ml,"<p>Dolce & Gabbana The One 100ml is a woody spicy oriental men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 5-7 hours of wear with moderate sillage, making it dependable for date nights and refined evening settings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Grapefruit, coriander, basil</li><li><strong>Middle notes:</strong> Cardamom, ginger, orange blossom</li><li><strong>Base notes:</strong> Tobacco, amber, cedar</li></ul><p>Best suited to date nights and refined evening settings, this fragrance is aimed at men who prefer warm, intimate and elegant scents. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Dolce & Gabbana,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Dolce & Gabbana,men,designer,woody spicy oriental,date,evening,fall,winter",TRUE,Size,100ml,DOLCEGABBANA-THEONE-100,500,shopify,50,deny,manual,99.00,132.00,TRUE,TRUE,,1,Dolce & Gabbana The One 100ml cologne bottle - authentic designer fragrance,Buy Dolce & Gabbana The One | Authentic | Dumbdollars,"Shop Dolce & Gabbana The One 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
givenchy-gentleman-edp-100ml,Givenchy Gentleman EDP 100ml,"<p>Givenchy Gentleman EDP 100ml is a oriental woody men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for evening wear, date nights, and colder seasons. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Black pepper, lavender, bergamot</li><li><strong>Middle notes:</strong> Orris, clove, cinnamon</li><li><strong>Base notes:</strong> Black vanilla husk, tolu balsam, tonka bean, patchouli</li></ul><p>Best suited to evening wear, date nights, and colder seasons, this fragrance is aimed at men who enjoy elegant iris warmth with a sensual dry-down. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Givenchy,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Givenchy,men,designer,oriental woody,evening,date,fall,winter",TRUE,Size,100ml,GIVENCHY-GENTLEMANEDP-100,500,shopify,50,deny,manual,115.00,149.00,TRUE,TRUE,,1,Givenchy Gentleman EDP 100ml cologne bottle - authentic designer fragrance,Buy Givenchy Gentleman EDP | Authentic | Dumbdollars,"Shop Givenchy Gentleman EDP 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
montblanc-explorer-100ml,Montblanc Explorer 100ml,"<p>Montblanc Explorer 100ml is a woody aromatic men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for office wear, travel, and all-day versatility. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Bergamot, pink pepper, clary sage</li><li><strong>Middle notes:</strong> Haitian vetiver, leather</li><li><strong>Base notes:</strong> Ambroxan, Akigalawood, cacao pod, patchouli leaf</li></ul><p>Best suited to office wear, travel, and all-day versatility, this fragrance is aimed at men looking for a modern woody scent with broad appeal. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Montblanc,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Montblanc,men,designer,woody aromatic,work,daily,date,all-season",TRUE,Size,100ml,MONTBLANC-EXPLORER-100,500,shopify,50,deny,manual,95.00,125.00,TRUE,TRUE,,1,Montblanc Explorer 100ml cologne bottle - authentic designer fragrance,Buy Montblanc Explorer | Authentic | Dumbdollars,"Shop Montblanc Explorer 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
versace-dylan-blue-100ml,Versace Dylan Blue 100ml,"<p>Versace Dylan Blue 100ml is a aromatic fougere fresh men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate to strong sillage, making it dependable for daily wear, evenings out, and versatile signature use. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Calabrian bergamot, grapefruit, fig leaves, aquatic notes</li><li><strong>Middle notes:</strong> Violet leaf, papyrus, patchouli, black pepper, ambrox</li><li><strong>Base notes:</strong> Musk, tonka bean, saffron, incense</li></ul><p>Best suited to daily wear, evenings out, and versatile signature use, this fragrance is aimed at men who like fresh blue fragrances with masculine depth. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Versace,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Versace,men,designer,aromatic fougere fresh,work,date,evening,all-season",TRUE,Size,100ml,VERSACE-DYLANBLUE-100,500,shopify,50,deny,manual,92.00,122.00,TRUE,TRUE,,1,Versace Dylan Blue 100ml cologne bottle - authentic designer fragrance,Buy Versace Dylan Blue | Authentic | Dumbdollars,"Shop Versace Dylan Blue 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
calvin-klein-eternity-for-men-100ml,Calvin Klein Eternity for Men 100ml,"<p>Calvin Klein Eternity for Men 100ml is a aromatic fougere men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 5-7 hours of wear with moderate sillage, making it dependable for daytime wear, office settings, and spring-summer use. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Lavender, mandarin orange, bergamot, lemon</li><li><strong>Middle notes:</strong> Coriander, lily, orange blossom, juniper berries, basil, jasmine, sage, lily-of-the-valley, geranium</li><li><strong>Base notes:</strong> Sandalwood, amber, musk, vetiver, Brazilian rosewood</li></ul><p>Best suited to daytime wear, office settings, and spring-summer use, this fragrance is aimed at men who want a timeless clean aromatic fragrance. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Calvin Klein,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Calvin Klein,men,designer,aromatic fougere,work,daily,spring,summer",TRUE,Size,100ml,CALVINKLEIN-ETERNITY-100,500,shopify,50,deny,manual,85.00,109.00,TRUE,TRUE,,1,Calvin Klein Eternity for Men 100ml cologne bottle - authentic designer fragrance,Buy Calvin Klein Eternity for Men | Authentic | Dumbdollars,"Shop Calvin Klein Eternity for Men 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
carolina-herrera-bad-boy-100ml,Carolina Herrera Bad Boy 100ml,"<p>Carolina Herrera Bad Boy 100ml is a oriental spicy men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate to strong sillage, making it dependable for date nights, parties, and cooler weather. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Black pepper, white pepper, bergamot</li><li><strong>Middle notes:</strong> Cedar, sage</li><li><strong>Base notes:</strong> Tonka bean, cacao</li></ul><p>Best suited to date nights, parties, and cooler weather, this fragrance is aimed at men who like edgy spicy-sweet fragrances with charisma. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Carolina Herrera,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Carolina Herrera,men,designer,oriental spicy,date,evening,fall,winter",TRUE,Size,100ml,CAROLINAHERRERA-BADBOY-100,500,shopify,50,deny,manual,112.00,149.00,TRUE,TRUE,,1,Carolina Herrera Bad Boy 100ml cologne bottle - authentic designer fragrance,Buy Carolina Herrera Bad Boy | Authentic | Dumbdollars,"Shop Carolina Herrera Bad Boy 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
